Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
5.29.21,,Fat Grip Barbell Wrist Curl,50,20.20.20,,Fat Grip Dumbbell Half Curl,37.5,8.6.5,,,,,,,,
6.21.21,,Fat Grip Barbell Wrist Curl,50,20.20.20,,Fat Grip Dumbbell Half Curl,35,8.8.8,,Natural Grip Half Pull-Ups,0,16.12.10,,Fat Hammers,15,16.12.12
6.26.21,,Fat Grip Barbell Wrist Curl,60,20.18.16,,Fat Grip Dumbbell Half Curl,37.5,8.8.8,,Natural Grip Half Pull-Ups,0,18.16.12,,Fat Hammers,15,12.9.7
7.1.21,,Russian Forearm Break,20,3,,Fat Grip Dumbbell Half Curl,40.35.30,7.8.8,,Natural Grip Half Pull-Ups,0,20.16.11,,Fat Hammers,15,12.10.8
7.6.21,,Russian Forearm Break,20,3,,Fat Grip Dumbbell Half Curl,42.5 40 37.5,8.6.7,,Natural Grip Half Pull-Ups,0,15.10.8,,Fat Hammers,15,16.12.12
7.19.21,,Russian Forearm Break,20,3,,Fat Grip Dumbbell Half Curl,25,16.14.12,,Natural Grip Half Pull-Ups,0,20.12.9,,Fat Hammers,20,12.8
7.29.21,,Fat Grip Barbell Wrist Curls,70,16.12.8,,Fat Grip Dumbbell Half Curl,42.5 40 37.5,8.8.10,,Natural Grip Half Pull-Ups,0,9.9.6,,,,
8.24.21,,Fat Grip Barbell Wrist Curls,70,16.12.10,,Fat Grip Dumbbell Half Curl,42.5 40 37.5,5.6.7,,,,,,Fat Hammers,20,12.8.5
8.30.21,,,,,,Fat Grip Dumbbell Half Curl,37.5,11.9.7,,Natural Grip Half Pull-Ups,0,20.12.9,,Fat Hammers,20,9.8.8
9.9.21,,,,,,Fat Grip Dumbbell Half Curl,40,8.5.3,,Natural Grip Half Pull-Ups,0,21.14.10,,Fat Hammers,20,10.9.8