Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
4.27.21,,Bench Press,100,6.6.6,,Standing Skull Crushers,10,12.12.12,,Pushups,0,16.14.12
5.5.21,,Incline Bench Press,90,8.6.5,,French Press,15,6.4.4,,Pushups,0,16.14.12
5.10.21,,Overhead Press,65,8.6.5,,French Press,10,7.4.0,,Pushups,0,24.20.16
5.20.21,,Bench Press,100,8.8.8,,French Press,15,8.6.2,,Pushups,0,18.14.12
5.6.27,,Incline Bench Press,90,8.7.2,,,,,,Pushups,0,0.0.0
6.18.21,,Declined Pushups,0,8.8.8,,Standing Skull Crushers,10,9.6.9,,Pushups,0,25.20.18
6.28.21,,Declined Pushups,0,8.8.8,,French Press,10,8.8.0,,Pushups,0,25.21.19
7.2.21,,Bench Press,105,6.5.5,,French Press,10,10.10.7,,Pushups,0,16.14.12
7.18.21,,Declined Pushups,0,9.9.9,,,,,,Pushups,0,28.20.18
7.27.21,,Bench Press,105,5.4.4,,French Press,10,8.6.6,,Pushups,0,18.14.12
9.7.21,,Bench Press,95,8.7.5,,French Press,10,8.7.6,,Pushups,0,12