Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
9.14.21,,Mid-Grip Pull-Ups,0,7.4.2,,Concentration Curls,25,11.9.8,,Twisted Curls,20,10.9.8,,Dumbbell Lateral Raises,10,9.10.10,,Dumbbell Face Pulls,5,8.8.8
9.20.21,,Mid-Grip Pull-Ups,0,8.6.4,,Concentration Curls,30,8.7.6,,Twisted Curls,20,11.10.9,,Lu Raises,5,10.10.10,,Dumbbell Face Pulls,5,8.8.8
9.26.21,,Mid-Grip Pull-Ups,0,8.7.5,,Concentration Curls,30,9.8.7,,Twisted Curls,20,14.10.8,,Lu Raises,5,12.12.12,,Reverse Flyes,5,10.10.10
10.3.21,,Mid-Grip Pull-Ups,0,7.6.5,,Concentration Curls,30,10.9.8,,Fat Hammer Curls,20,10.8.6,,Lu Raises,7.5,10.8.6,,Reverse Flyes,5,11.11.11
10.12.21,,Natural Grip Pull-Ups,0,8.7.6,,Concentration Curls,35,6.5.4,,Fat Hammer Curls,20,8.7.6,,Lu Raises,7.5,11.8.6,,Reverse Flyes,7.5,6.3
10.19.21,,Natural Grip Pull-Ups,0,7.6.5,,Concentration Curls,35,7.5.4,,Fat Hammer Curls,20,8.7.5,,Lu Raises,7.5,12.9.6,,Reverse Flyes,7.5,6.4.4
10.26.21,,Mid Group Pull-Ups,0,7.6.4,,Concentration Curls,32.5,5.4.3,,Fat Hammer Curls,20,9.7.7,,Lu Raises,10,5.5.5,,Reverse Flyes,7.5,7.6.5
11.2.21,,Natural Grip Pull-Ups,0,8.6.4.,,Concentration Curls,32.5,6.4.3,,Fat Hammer Curls,20,8.6.4,,Lu Raises,10,9.8.7,,Reverse Flyes,7.5,8.6.5
11.12.21,,Mid Grip Pull-Ups,0,9.7.5,,Concentration Curls,32.5,7.5.3,,Fat Hammer Curls,20,8.7.6,,Behind the Head Overhead Press,20,13.12.8,,Reverse Flyes,7.5,9.8.7
11.18.21,,Neutral Grip Pull-Ups,0,8.6.5,,Concentration Curls,32.5,8.6.3,,Fat Hammer Curls,20,8.7.6,,Behind the Head Overhead Press,20,15.12.9,,Reverse Flyes,7.5,10.9.8
12.6.21,,Neutral Grip Pull-Ups,0,8.7.6,,Concentration Curls,32.5,7.4.3,,Fat Hammer Curls,20,8.7.6,,,,,,,,